global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
938,1,7.871,0.15980525314807892,0.9539333581924438,0.06353330612182617,0.9789000153541565,2,0,30000
1876,2,15.094,0.05233579874038696,0.9849166870117188,0.05024091154336929,0.9828000068664551,2,0,30000
2814,3,22.215,0.03666270524263382,0.9890000224113464,0.04728211089968681,0.9842000007629395,2,0,30000
3752,4,29.296,0.02461099624633789,0.9931666851043701,0.0428268127143383,0.9861999750137329,2,0,30000
4690,5,36.357,0.01765761524438858,0.9947999715805054,0.04714745283126831,0.9848999977111816,2,0,30000
