global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
938,1,15.985,0.1672985553741455,0.9524166584014893,0.07322576642036438,0.9771000146865845,6,0,10000
1876,2,31.524,0.05467802286148071,0.9838666915893555,0.060309577733278275,0.9811000227928162,6,0,10000
2814,3,47.178,0.034250035881996155,0.9900000095367432,0.04847646504640579,0.9840999841690063,6,0,10000
3752,4,62.375,0.024845782667398453,0.9922333359718323,0.047767288982868195,0.9840999841690063,6,0,10000
4690,5,77.297,0.019784796983003616,0.9940500259399414,0.04922018572688103,0.9847999811172485,6,0,10000
