global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
938,1,7.842,0.18096035718917847,0.9471166729927063,0.07066784799098969,0.9771999716758728,2,0,30000
1876,2,15.227,0.05891220644116402,0.9825666546821594,0.06158499792218208,0.9800999760627747,2,0,30000
2814,3,30.743,0.03617262467741966,0.9891166687011719,0.04595765098929405,0.983299970626831,6,0,10000
3752,4,45.61,0.02453061193227768,0.9926166534423828,0.05405047535896301,0.9818999767303467,6,0,10000
4690,5,65.967,0.01973114348948002,0.9941333532333374,0.0454096756875515,0.9860000014305115,6,0,10000
