global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
196,1,241.666,1.8700346946716309,0.44251999258995056,4.111506462097168,0.12300000339746475,2,0,25000
392,2,420.455,1.2316001653671265,0.6262400150299072,2.397996187210083,0.31450000405311584,2,0,25000
588,3,602.595,0.9689304828643799,0.7215399742126465,1.231209397315979,0.6413999795913696,2,0,25000
784,4,782.391,0.7992683053016663,0.7846999764442444,1.0224394798278809,0.7207000255584717,2,0,25000
980,5,963.93,0.6767198443412781,0.8275600075721741,1.0211646556854248,0.7383000254631042,2,0,25000
1176,6,1148.606,0.5859940052032471,0.8614199757575989,1.0221143960952759,0.7591999769210815,2,0,25000
1372,7,1337.76,0.518235445022583,0.8896200060844421,1.0531185865402222,0.7753000259399414,2,0,25000
1568,8,1516.924,0.47261881828308105,0.9108999967575073,1.0229874849319458,0.772599995136261,2,0,25000
1764,9,1690.989,0.4434707760810852,0.9284600019454956,1.0513995885849,0.800000011920929,2,0,25000
1960,10,1864.38,0.42932528257369995,0.9402400255203247,1.141508936882019,0.7900999784469604,2,0,25000
